SpeciesID,ClassName,SpeciesName
1,Insect,Bee
2,Mammal,Cat
3,Bird,Chicken
4,Mammal,Dog
5,Bird,Duck
6,Mammal,Ferret
7,Mammal,Gerbil
8,Fish,Goldfish
9,Bird,Goose
10,Mammal,Hamster
11,Mammal,Hare
12,Mammal,Horse
13,Reptile,Lizard
14,Bird,Parakeet
15,Bird,Parrot
16,Mammal,Rabbit
17,Reptile,Snake
18,Insect,Stick Insect
